date,amount,category,description
2025-01-05,1500.00,food,Grocery shopping at Carrefour
2025-01-08,500.00,transport,Uber rides weekly
2025-01-10,25000.00,rent,Monthly house rent
2025-01-12,800.00,utilities,Electricity bill
2025-01-15,2000.00,entertainment,Dinner and cinema
2025-01-18,1200.00,healthcare,Pharmacy medicines
2025-01-20,3500.00,shopping,Clothes from Zara
2025-02-05,1800.00,food,Grocery shopping
2025-02-08,600.00,transport,Careem rides
2025-02-10,25000.00,rent,Monthly house rent
2025-02-14,900.00,utilities,Gas and electricity
2025-02-16,1500.00,entertainment,Streaming and dining
2025-02-20,4000.00,shopping,Online shopping
2025-03-05,2000.00,food,Grocery and eating out
2025-03-08,550.00,transport,Weekly transport
2025-03-10,25000.00,rent,Monthly house rent
2025-03-15,1000.00,utilities,Utility bills
2025-03-18,2500.00,entertainment,Events and dining
2025-03-22,1500.00,healthcare,Doctor visit
2025-03-25,3000.00,shopping,Electronics
2025-04-05,2200.00,food,Grocery shopping
2025-04-08,650.00,transport,Careem and Uber
2025-04-10,25000.00,rent,Monthly house rent
2025-04-14,850.00,utilities,Electricity bill
2025-04-18,1800.00,entertainment,Dining and movies
2025-04-22,2000.00,shopping,Clothes shopping
2025-04-25,1300.00,healthcare,Medical checkup
